asli;olah;target
@jokowi Selamat siang Pak/Bu saya Susanto dari Pangkalan Brandan, Saya sudah vaksin dosis ke 2 di POLRES STABAT pad… https://t.co/LRsWd1hsb5;Selamat siang Pak/Bu saya Susanto dari Pangkalan Brandan, Saya sudah vaksin dosis ke 2 di POLRES STABAT pada tanggal 14 September 2021 tetapi hingga kini sertifikat saya belum online di aplikasi Peduli Lindungi. Saya sudah minta tolong input data kepuskesmas terdekat untuk kira;negative
Vaksin Tahap 73 Tiba, Pemerintah Dorong Vaksinasi Lansia Dan Remaja https://t.co/1GgXwT5oT8;;positive
Hari ini jadwal jadi petugas vaksin, trs tadi lagi sibuk bgt input data dengan jari-jari yang mulai pegal, tiba2 ad… https://t.co/vDvhPKKHV0;"Hari ini jadwal jadi petugas vaksin, trs tadi lagi sibuk bgt input data dengan jari-jari yang mulai pegal, tiba2 ada yang kasih ini sambil blg ""Ini kak Buat Kaka"" pas gue liat, iiii gemes banget kan, penasaran tapi baru sempet buka pas istirahat terus isinya.....
";positive
vaksin besok, sekarang udah lemes;;neutral
@__Sridiana_3va Maaf pak camer, pemikiran saya tak semiskin itu, karena bagi saya sertifikat tanah jauh lebih berha… https://t.co/XlFTjd5M2I;Maaf pak camer, pemikiran saya tak semiskin itu, karena bagi saya sertifikat tanah jauh lebih berharga dari sertifikat vaksin.;negative
"Vaksin Covid-19 melindungi Diri dan Keluarga.

@divisihumaspolri #polresjakartapusat
@poldametrojaya… https://t.co/p1WVlkAL60";;positive
"[CERITA HARI INI]
Hari ini emg mau pulang ke salatiga (dri jogja karna aku udh ngekos lg) karna aku mau ambil paket… https://t.co/28HZOganMu";;neutral
Vaksin nabung sregep latian ✅ https://t.co/MClAcesUI3;"Jika santun menjadi pilihan kalian silahkan tapi jangan salahkan teman"" yang menjadi apa adanya. Setiap orang memiliki cara tersendiri dalam membela bangsa ini dan setiap orang memiliki cara sendiri dalam memaknai sebuah rivalitas, KAMI BENCI MALAYSIA DAN ITU TAK BISA DITAWAR!";neutral
CIREBON - Masyarakat yang belum mendapatkan vaksin covid 19, bisa melihat informasi jadwal vaksinasi yang akan berl… https://t.co/yDFdR6q79Y;CIREBON - Masyarakat yang belum mendapatkan vaksin covid 19, bisa melihat informasi jadwal vaksinasi yang akan berlangsung di Kota Cirebon. Proses vaksinasi;positive
@Kurnia_nia_niu Vaksin ngak? vaksin nga?,vaksinlah!! masak engak,vaksinlah! biar cepet mendapat herd immunity yes!;;positive
cieee adek vaskin pertama dah kelar, aku juga abis vaksin kedua dekkk;;positive
😌 akuh wes vaksin 💉 https://t.co/RI2Ap6WKoV;😌 akuh wes vaksin 💉;positive
@convomf ya ga bolee atuu nderr, tunggu sehat negatif dlu bru vaksin;;neutral
@convomf Gak. Sama juga kalau habis selesai positif, tunggu sampe 2-3 bulan dulu, baru bisa vaksin. Jangan nyebarin… https://t.co/zliYWRgZsg;;neutral
@convomf Ga lah. Yg abis positif aja nunggu 3 bln baru boleh vaksin;;neutral
@salma_salsall Vaksin ngak? vaksin nga?,vaksinlah!! masak engak,vaksinlah! biar cepet mendapat herd immunity yes!;;positive
"@CokeAddict627 Dokter-nya Jill Valentine. Ayok, vaksin!

Pasang poster segede godzilla ah.";;positive
@convomf Ga nunggu negatif baru 3 bulan kemudian vaksin stauku;;neutral
Dulu abang pernah bercanda tentang kalo udah di vaksin bakal jadi titan ( titan aot ) sekarang abang, teteh, adek s… https://t.co/9geueblAJc;"Dulu abang pernah bercanda tentang kalo udah di vaksin bakal jadi titan ( titan aot ) sekarang abang, teteh, adek sama aku udah di vaksin, terus mama bikin story gini di WA😭
";positive
Penyelenggara vaksin gk jelas anj. Bilangnya dosis 2 di tempat yang sama pas vaksin dosis 1. Eh pas nyampe tempatny… https://t.co/yidNNgGjko;Penyelenggara vaksin gk jelas anj. Bilangnya dosis 2 di tempat yang sama pas vaksin dosis 1. Eh pas nyampe tempatnya malah gk ada. Mana gk ada info lanjutan. Taii;negative
@Salsa_sasaaaa Vaksin ngak? vaksin nga?,vaksinlah!! masak engak,vaksinlah! biar cepet mendapat herd immunity yes!;;positive
"""Kurangnya ketersediaan vaksin sampai ke daerah mengganggu proses vaksinasi di NTT. Saat ini masih belum sesuai den… https://t.co/dVcpqvUSL4";"""Kurangnya ketersediaan vaksin sampai ke daerah mengganggu proses vaksinasi di NTT. Saat ini masih belum sesuai dengan apa yang kami harapkan. Seharusnya di NTT dapat mencapai 400.000 vaksinasi, saat ini maksimal 20.000."" - dr. Mese Autapah";neutral
@arifbsantoso @PBIDI @tirta_cipeng Coba itu jg pernah bahas ttg vaksin moderna yg lbh efektif drpd pfizer;;neutral
aku mw vaksin 😆😆💪🏻💪🏻;;positive
Terlampau ramai gomen workers yang taknak vaksin. Even dalam kkm sendiri. Satu contoh yang tak baik https://t.co/bY7kO24MUu;#Putrajaya Jabatan Perkhidmatan Awam (JPA) bercadang mewajibkan pengambilan vaksin dalam kalangan penjawat awam bagi memberi jaminan dan keyakinan orang awam untuk berurusan di bangunan kerajaan.;neutral
@convomf Gak boleh. Setelah negatif pun mau vaksin harus nunggu 3 bulan, baru boleh vaksin.;;neutral
@Butiran_Debuabu Vaksin ngak? vaksin nga?,vaksinlah!! masak engak,vaksinlah! biar cepet mendapat herd immunity yes!;;positive
"serta masyarakat umum tersebut dapat mempercepat pencapaian target vaksinasi pemerintah. 

""Kita harapkan dari selu… https://t.co/O0zeZJcAqG";;positive
@Ghosani07 Vaksin ngak? vaksin nga?,vaksinlah!! masak engak,vaksinlah! biar cepet mendapat herd immunity yes!;;positive
@JISUNGER0S u dapat vaksin bila😩😩;;positive
@Jknichu @burnandsoul @aqilahlie_ bisa diaturrrrrr tggu qilah second dose lah blh dine terus kat sana . lembab la m… https://t.co/SxkfOSdgWo;bisa diaturrrrrr tggu qilah second dose lah blh dine terus kat sana . lembab la minah tu nak abis vaksin hahaha;neutral
@arifbsantoso @PBIDI @tirta_cipeng Loh, kok jd heboh? Dokter adam ini setahu saya meng-infokan efektivitas segala j… https://t.co/HYT9e1Ot1x;Loh, kok jd heboh? Dokter adam ini setahu saya meng-infokan efektivitas segala jenis vaksin yg ada. Kalau kemudin pfizer yg diupdate info ya mgkn krn memang ada informasi baru. Bukan karena endorse pfizer.;neutral
"@bertanyarl waktu gw vaksin sinovac sih ada ibu"" sebelahku yg punya asma pas ditanyain sama yg mau vaksin kalo puny… https://t.co/K2KLqj0KWD";"waktu gw vaksin sinovac sih ada ibu"" sebelahku yg punya asma pas ditanyain sama yg mau vaksin kalo punya asma gaboleh ikut jadi orngnya pulang gitu nder";neutral
efek setelah vaksin dosis ke 2 moderna, beuuhh pwegell nya minta ampuunn😞;;neutral
@GeorgeVanMars @ReadyForWar21 @DivHumas_Polri Brarti kita semua kadrun dong, krn kita juga sama2 yakin dgn kebenara… https://t.co/ozTWOj8kfx;"Brarti kita semua kadrun dong, krn kita juga sama2 yakin dgn kebenaran yg kita yakini. 
Anda yakin dgn vaksin, pandemi baru bisa selesai.
Sebaliknya saya yakin pandemi sdh selesai di tahun lalu bila tdk ada ""tangan2 kotor"" yg ingin mengambil keuntungan dari pandemi ini.";negative
Korang berani ke pakai baju lain kalau sekolah korang suruh pakai baju pj masa vaksin nanti ??;;neutral
@jogmfs Iya tinggal dteng lg aja nder sm bwa kartu vaksin yg prtama,  fc ktp;;positive
Rasa mengantuk pula lepas vaksin😪;;neutral
@convomf positif apa? hamilll? kalo positif c word yeuuu setau gue aja kalo alumni c word harus nunggu 2-3 bulan af… https://t.co/2WW0xYGzGn;positif apa? hamilll? kalo positif c word yeuuu setau gue aja kalo alumni c word harus nunggu 2-3 bulan after terpapar baru bisa vaksin. lah ini lg c word? emng bolee?;negative
"Awas Gelombang 3 Covid di RI.
Tetap Waspada &amp; hati2 jangan merasa sudah bebas Covid19.
Tetapi Taat Prokes dan selal… https://t.co/hKBiUpun13";;neutral
@yiyiitsyi Asli baca beritanya tuh udah kebentuk loh itu tapi gara2 covid sama ya ada pemain yang belum selesai vak… https://t.co/IS2g1cIbXV;Asli baca beritanya tuh udah kebentuk loh itu tapi gara2 covid sama ya ada pemain yang belum selesai vaksin gitu, sepak terjangnya korea bagus tuh ya pas jaman AG 2018 sama Tokyo 2020 OQT itu sehabis itu keos deh ini makany dikirim team sangmu;neutral
@convomf gak boleeeh, kalopun udah pernah positif untuk vaksin tuh harus tunggu beberapa bulan;;neutral
@nganuehe Harus vaksin 2x ya?;;neutral
Mau vaksin aja udah kayak rebutan 1M😓;;negative
Padahal udah vaksin ke dua, tapi di sertifikat tulisannya vaksin pertama 🙃;;negative
Ketika pak Kepala pangge makang mar dengan menepuk nn pe lengan yg da dpa suntik. Di situ nn mo bataria saki mar cu… https://t.co/CWBVsVVouQ;"Ketika pak Kepala pangge makang mar dengan menepuk nn pe lengan yg da dpa suntik. Di situ nn mo bataria saki mar cuma boleh dalam hati, kong cuma keluar suara sembari tersenyum ""aduh pak sakit, habis vaksin"" 🤦‍♂️🤦‍♂️";neutral
@Kerupukulit135 Jangan lupa vaksin warga jateng;;positive
Cuepacs gesa k'jaan wajibkan penjawat awam ambil vaksin https://t.co/e4ZWlnaMZe;;positive
"guys kalo tempat vaksin kedua nya beda sama vaksin yg pertama boleh nggak ya?
-11fess";;positive
Pak bos abis vaksin🔥🔥🔥🔥👏;;positive
Aplikasi ProSehat Sediakan Layanan Imunisasi dan Vaksin Home Service Untuk Anak https://t.co/sNA4zFzdYH;;neutral
BPKP cek ketersediaan vaksin di Bio Farma Bandung https://t.co/RBNAOm2bDe;;neutral
After Sultan made noise, JAI Selangor had 1000 line list, 218 turn up, only 170 vaccinated.. ramai cikgu agama tak… https://t.co/QRocVroHbD;After Sultan made noise, JAI Selangor had 1000 line list, 218 turn up, only 170 vaccinated.. ramai cikgu agama tak nak cucuk vaksin. nak tag sapa ni?;negative
"ohh ternyata selesai vaksin toh ni anak :)))) 

gws yaa si adekkk https://t.co/Pnn3RlyP6R";;neutral
"Aduhhhhhhh
Klo ini yg d tanya saya lngsung buru2 vaksin bu dokter😅😅
Tp sayangnya Camer itu belum ada🙈🙈🙈🙈😪😪😪 https://t.co/nwFxlZllum";;negative
Stok Vaksin Covid-19 di Kota Pekanbaru Tersedia 15.511 Vial https://t.co/LpNki3a9AD;;positive
@hirukpiruk masama, itu dpt cuma search di twt pake keyword 'vaksin purwokerto';;neutral
"Vaksinasi santri Babul Khaer Bulukumba.
Saya Anak Pondok Sudah Vaksin!

#PercepatKekebalanKomunal
Tercapai Herd Imm… https://t.co/isgRW70K78";;neutral
"@__Sridiana_3va Aduhhhhhhh
Klo ini yg d tanya saya lngsung buru2 vaksin bu dokter😅😅
Tp sayangnya Camer itu belum ada🙈🙈🙈🙈😪😪😪";;negative
Login https://t.co/9EjAx1SfLe Buat Download Sertifikat Vaksin Covid https://t.co/KWz1PrTKyL;;neutral
Obat vaksin yaitu moke https://t.co/O8HhladcgD;Obat vaksin yaitu moke;neutral
Baru beres vaksin, belom makan dari pagi, ruangan dah dikunci dahlaah betee laper ku tinggal aja tas ku😣;;neutral
#Per Oktober anak-anak di India bisa mendapatkan vaksin COVID - ANTARA #Covid #Covid19 https://t.co/T25MYwjQly;;positive
#Pamerkan Data Covid-19 Indonesia Membaik, Menlu Retno Harap Arab Saudi Tinjau Kebijakan Vaksin dan Umrah -… https://t.co/SJKx7dNdBI;#Pamerkan Data Covid-19 Indonesia Membaik, Menlu Retno Harap Arab Saudi Tinjau Kebijakan Vaksin dan Umrah - http://Kompas.com - Nasional http://Kompas.com #Covid #Covid19;neutral
melaksanakan PAM  pelaksanaan VAksin   ke 1 Moderna di Puskesmas kel Tj marulak dan utk   pencegahan penularan Covi… https://t.co/wvRNVbKmF1;melaksanakan PAM  pelaksanaan VAksin   ke 1 Moderna di Puskesmas kel Tj marulak dan utk   pencegahan penularan Covid-19  dengan tetap mematuhi protokol kesehatan yang ditetapkan oleh pemerintah;positive
#IMF Desak Negara Kaya Sumbang Vaksin Covid-19 - Republika Online #Covid #Covid19 https://t.co/OWqvqglVdF;;positive
@Cahayaacb Vaksin itu baik;;positive
@buwwungpuyuh ehh gitu ya, emng sih masih vaksin kesatu, tapi biasnya jaraknya berapa hari ada sertif vaksinnya.;;neutral
Pengen nonton bioskop sendiri lagi, tapi baru bisa pas vaksin ke 2. Sedangkan vaksin ke 2 baru bulan desember.;;negative
#Gelombang Ketiga Covid-19 Masih Mengancam, 100 Tokoh Bangsa Singgung Vaksin Sinovac - https://t.co/bZfWAbHuZw… https://t.co/ukFkNhpzIa;#Gelombang Ketiga Covid-19 Masih Mengancam, 100 Tokoh Bangsa Singgung Vaksin Sinovac - http://Suara.com #Covid #Covid19;neutral
#Ikut Jejak 3 Negara, Finlandia Terapkan Paspor Vaksin COVID-19 - https://t.co/K8DMr16hLS #Covid #Covid19 https://t.co/fw9f7boxUU;;neutral
#Kenapa Vaksin COVID-19 Sputnik V Belum Masuk Indonesia? Ini Kata Dubes Rusia - https://t.co/K8DMr16hLS #Covid… https://t.co/dKvoZzmIge;#Kenapa Vaksin COVID-19 Sputnik V Belum Masuk Indonesia? Ini Kata Dubes Rusia - http://Liputan6.com #Covid #Covid19;neutral
"@famaria_ Cepat"" di buka wkkkk kyk nya uda gak deh.  Soalnya smua daerah uda buka dan ada syarat vaksin 2x baru boleh masuk";;neutral
macam mana nak amik vaksin jumaat ni woi aku tak ready lagi nak duduk kat public https://t.co/bk9FTvjEjJ;;negative
Pundek betul guru² yang tak nak vaksin ni, menyusah kan org;;negative
emg harus bgt ya pake apk pedulilindungi, kalo cetak kartu vaksin gabisa kah? terus orang tua yg gapunya hp gimana?;;negative
@pilghie Kesempatan gak datang 2x nih jd yuk vaksin;;positive
@ikilodeon betul weh 😭 dahla tarikh vaksin tu under my mum lepastu bila setiap masa nak check mak aku marah suruh sabar 😶;;neutral
@elshaka23 Ayo warga jawa tengah vaksin;;positive
@anakrumbai1 Ayo vaksin, kita usaha sama2;;positive
@Celine_JKT48 ciee abis vaksin 😆👏 jangan lupa makan siangnya dan banyak minum+istirahat ya, semoga efek sampingnya ringan di Celine 😊;;positive
"@DiskominfoPWK @bkpsdmpwk Tp saya sudah vaksin koq kakak admin sktr bulan agustus, dosis 1 &amp; 2 sudh lengkap";;neutral
@ikanatwuna kmrin dpt selebaran egk hbs vaksin? biasanya ada qr code gt;;neutral
Sodorkan berita ini ke Menko Luhut yang mati-matian bela investor China untuk bangun pabrik vaksin. Mudah-mudahan b… https://t.co/ZMwu3H4FOL;Sodorkan berita ini ke Menko Luhut yang mati-matian bela investor China untuk bangun pabrik vaksin. Mudah-mudahan beliau segera pulih rasa cinta tanah airnya.;negative
@vivxivi Setau ku sih 2x vaksin + hijau/kuning di pedulilindungi, cmiiw;;neutral
"BERIKUT MERUPAKAN SENARAI PUSAT PEMBERIAN VAKSIN ( PPV) WALK-IN BAGI REMAJA BERUMUR 16 &amp; 17 TAHUN NEGERI PAHANG 

W… https://t.co/ngTOcQEVqE";;neutral
Kalo ada yg hndk be vaksin di gedung sultan suriansyah dari pagi sampai sore , vaksin sinovac klo kd salah;;positive
@qwiselle Vaksin itu sehat;;positive
@mmuzaqi_ Ayo vaksin yaaa;;positive
@merlynn96 Semangattt nih aku buat vaksin;;positive
Seneng bgt akhirnya bisa dpt vaksin 🤩;;positive
@yuuwinie biasanya kalo abis vaksin ke 2 lengan yg di suntik itu jadi sakit banget;;negative
@macholady58 Secara halus.. Sebagai salah satu usaha.. Kalau still ade yg xnak vaksin, mngkin dyorng xkan paksa.. C… https://t.co/QtTvQLoUmt;Secara halus.. Sebagai salah satu usaha.. Kalau still ade yg xnak vaksin, mngkin dyorng xkan paksa.. Cumanya mereka akan rasa terpksa kerana kebebasan mereka tersekat.. Yela, org lain vaksin, dia xnak, xkanla sama je.. Baik semua xyah vaksin kalau mcm tu.. Sekadar pndgn.. Huhu;neutral
@thisvian ini baru di infoin buat vaksin, kalo ga vaksin nanti gabisa masuk gym wkwk capek deh;;negative
"*HASIL PANTAU WILAYAH
*GIAT MASY      : membantu kelancaran vaksin covid-19_ di pendopo kel.jajar
*HAL JOL… https://t.co/gcz2xaHlj3";;neutral
besok deh, sibuk ngurusin data vaksin ahhahahaha🏃;;neutral
Kemudian, Kepala Dinkes NTT, dr. Mese Autapah, mengatakan bahwa kesulitan paling besar di NTT adalah kesadaran akan… https://t.co/LVOx4UserH;"Kemudian, Kepala Dinkes NTT, dr. Mese Autapah, mengatakan bahwa kesulitan paling besar di NTT adalah kesadaran akan pentingnya vaksinasi. Masyarakat masih takut dengan efek samping vaksin.

#KataWargaTentangPengalamanVaksinasi 
@KawalCOVID19
 
@KATADATAcoid";negative
@dewawedha Wah jangan lewatkan kesempatan untuk vaksin nib;;positive
Jog mau tanya buat yg mahasiswa yg kemarin ikut vaksin massal dari Kapolda DIY di GOR UNY, yg dosis kedua besok mas… https://t.co/UVJSFPCIDa;Jog mau tanya buat yg mahasiswa yg kemarin ikut vaksin massal dari Kapolda DIY di GOR UNY, yg dosis kedua besok masih sama tempatnya ga ya, ga ada info blas ki;negative
Entah keceplosan apa emang menyadari kempuhan Vaksin jenis ini tapi bisa jadi pertimbangan buat nerima vaksin 😁😁 https://t.co/LzOCBpxJhj;"Sejak lama otang ini selalu bahas soal hebatnya vaksin pfizer. 

Entahlah apakah etis seorang dokter anggota ⁦
@PBIDI
⁩ mengiklankan produk macam ini?

dr. Raisa yang ngikankan sufor ditegur oleh organisasinya. 

Piye iki dab ⁦
@tirta_cipeng
⁩?";neutral
@____Snowy____ Di peduli lindungi kalo belum ada sabar dulu ak juga nunggu sampe vaksin ke dua baru dapet;;neutral
Presiden Duterte kritik rencana negara kaya soal booster vaksin Covid-19 https://t.co/DEYdogdkBg https://t.co/oXIOQY94LD;Presiden Duterte kritik rencana negara kaya soal booster vaksin Covid-19 http://v.aa.com.tr/2371471;neutral
Gue sih g takut vaksin, cuma y semoga aja badan w fit pas vaksin;;neutral
/wal cetak kartu vaksin yang baik dimana?;;neutral
halo w abis vaksin;;positive
@Benk299120211 mayoritas hanya mencari sertifikat vaksin. Coba aja rakyat kompak, protes utk batalkan kebijakan sertifikasi ini.;;negative
Tanpa pekeliling khusus mengenai isu pengambilan vaksin dalam kalangan penjawat awam boleh akibatkan usaha ini alam… https://t.co/c7iKUsCS7g;Tanpa pekeliling khusus mengenai isu pengambilan vaksin dalam kalangan penjawat awam boleh akibatkan usaha ini alami sedikit kesukaran. - Adnan #sinarharian;neutral
"Piala AFF 2020 Akan Kembali Digelar, Timnas Indonesia Siap Juara https://t.co/Y8i29C2lFY 

#SyariahSumberKeberkahan… https://t.co/FEXMY3pzVH";;positive
Semangat Vaksin https://t.co/1MQsBgHOFf;"Semangat vaksinasi, semangat Indonesia sehat!
Semoga cepat tercipta herd immunity yah..

#SukseskanVaksinasiJawaTengah
#IndonesiaSehatIndonesiaHebat";positive
"Sudaaaahh adaaa✨ 
Tinggal vaksin yokks https://t.co/ax9bU6Lz9G";;positive
sumpah babi , sepatutnya aku vaksin Harini last-last jadi macam ni. masalahnya aku tak kena covid , kontak rapat pu… https://t.co/4fe7dlXREv;"sumpah babi , sepatutnya aku vaksin Harini last-last jadi macam ni. masalahnya aku tak kena covid , kontak rapat pun tak , semua okay sihat ja dalam rumah . semalam , dua hari lepas okay ja biru tapi time nak vaksin jadi macam ni
";negative
@HyoMocellin205 Sukseskan program ini dengan ikut vaksin yuk;;positive
Suntikkan 3 Ribu Dosis Vaksin untuk Indonesia Tangguh https://t.co/osytZccou6;;positive
@pilghie Siap banget pasti warga sekitar untuk vaksin;;positive
Yang cari vaksin 1 Sinovac, bisa daftar di https://t.co/40emcPSQct masih ada sinovac dosis pertama sampe Sabtu tgl… https://t.co/Vi3M7x2KEO;Yang cari vaksin 1 Sinovac, bisa daftar di http://vaksinasiserviam.com masih ada sinovac dosis pertama sampe Sabtu tgl 25 september. Lokasi vaksinnya di sekolah st ursula BSD;positive
"Bapera Serahkan Bantuan Untuk Korban Banjir Katingan https://t.co/4bwTK5rLXg 

#SyariahSumberKeberkahan
#PLNMobile… https://t.co/n2CuSGlnOh";;neutral
@ranselrombeng vaksin sblm PTM;;positive
Oke deh, kita bakar giveaway siang ini. Pagi tadi lagi vaksin dosis 2 soalnya huhu;;neutral
Ini mau vaksin kok mager ya 🥴;;negative
@SmgMenfess2 buka, tapi nganggo bukti vaksin;;neutral
bts pas di un ga kemaren menekankan pentingnya vaksin njuk theres a health minister yg antivaxx hadir di acara yang… https://t.co/ikXorgfVSn;bts pas di un ga kemaren menekankan pentingnya vaksin njuk theres a health minister yg antivaxx hadir di acara yang sama and apparently revealed to be tested positive for covid thr next day😭😔 the irony😔;negative
Indonesia Dapat Tambahan 684.900 Dosis Vaksin AstraZeneca https://t.co/68laKdivMU;;positive
"setelah sekian abad ternyta dpet juga😭
eh iya klo ngecek setif vaksin dimana ya, aku dipeduli lindungi kok ngga ada https://t.co/s015VQMQg0";;positive
"@tattyhassan Time vaksin dia panggil ""puan"", me dlm hati tua sangat ke muka aq 😭😌";;neutral
"Bapera Sulsel Salurkan Bantuan Sembako di 3 Panti Asuhan https://t.co/ebP3GdBajZ 

#SyariahSumberKeberkahan… https://t.co/YnVmPrV2Ha";;neutral
@Jibeomr @sunlightekonomi apa kabar pasca vaksin? :D;;neutral
Tetap waspada. Pandemi belum berakhir. Selalu taati protokol kesehatan dan bagi sedherek yang belum vaksin, segera… https://t.co/pqTA5FfkZn;"Tetap waspada. Pandemi belum berakhir. Selalu taati protokol kesehatan dan bagi sedherek yang belum vaksin, segera lakukan vaksinasi COVID-19 di sentra vaksinasi/faskes terdekat.

#JogjaBakohCovid
#IndonesiaBisa
#IndonesiaBangkit";positive
@Benk299120211 Persiapan sebelum vaksin https://t.co/wGSmrV1GDQ;Persiapan sebelum vaksin;positive
Per 21 September 2021 pukul 18.00, sudah 81 juta orang mendapatkan vaksin dosis pertama dan 46 juta orang di antara… https://t.co/fww8wIGJzv;Per 21 September 2021 pukul 18.00, sudah 81 juta orang mendapatkan vaksin dosis pertama dan 46 juta orang di antara mereka telah mendapatkan dosis lengkap.;positive
@rzksyf Kesempatan vaksin nih y x g gass kan;;positive
Pantesan diem diem aja ternyata habis vaksin dosis 2 https://t.co/owURUNMA2O;"🐶: Why is the holiday over?
🐶: The holiday overlapped with the second round (of vaccine), so I'm in pain for two days ㅠㅠ
🐶: I'll cheer up from today
🐶: Monbebe, take a rest until today!

aww minhyuk 🥺 and pls why is speaking so cutely, imma cry #민혁";neutral
Suruh vaksin tak nak. Dah tu aku pulak kena duduk rumah sebab nanti jadi spreader 🥲👍🏻 https://t.co/SUt2WsxUyk;"Suruh vaksin tak nak. Dah tu aku pulak kena duduk rumah sebab nanti jadi spreader 🥲👍🏻
";negative
@mas_prasetiyo @jen_l4u eh pas balik badan gw udah mau cabut, dipanggil lagi sama satpamnya disuruh masuk aja terus… https://t.co/tLKJvQPJ8B;"eh pas balik badan gw udah mau cabut, dipanggil lagi sama satpamnya disuruh masuk aja terus diingetin next jangan lupa bawa kartu vaksin soalnya dah peraturannya wkwk
";neutral
@mamaacha03 Ikuti vaksin bantu pemerintah;;positive
@twicemygf oh jadi ya.... vaksin pun dapat hujung bulan 🤔🤔😥😥😥;;negative
@salsacaca08 Vaksin utk diri kita dan demi kesehatan kita;;positive
Vaksin lusa, lesu badan hari ni. Laju bethol side effect;;negative
Nak masuk shopping mall , kalau takde ‘my sejahtera’ (orang korea pakai kakaotalk) pun takpe. Boleh call number baw… https://t.co/2vZrIofprm;"Nak masuk shopping mall , kalau takde ‘my sejahtera’ (orang korea pakai kakaotalk) pun takpe. Boleh call number bawah tu as check in. And tak vaksin pun takpe.
";negative
"Terkendala Internet, Tes SKD CPNS Akan Dijadwalkan Ulang https://t.co/SuIdIFO90G 

#SyariahSumberKeberkahan… https://t.co/Kk6uv4CL3a";;neutral
@nadiaa_aprilia Yukyukk vaksin biar smuanya segera berlalu pandemi;;positive
